Name,Price,Screensize,Memory
Acer Aspire 7 A715-41G-R6S8 (NH.Q8DSI.001),"54,990",15.6 Inch,8 GB
Acer Aspire Switch One SW110-1CT (UT.709SI.001),"13,500",10.1 Inch,2 GB
Acer Aspire 3 A315-53 (NX.H38SI.010),"23,990",15.6 Inch,4 GB
Acer Aspire 7 A715-42G (NH.QAYSI.001),"61,369",15.6 Inch,8 GB
Acer Aspire 7 A715-75G (NH.Q85SI.003),"57,990",15.6 Inch,8 GB
Acer Nitro 5 AN515-43 (UN.Q5XSI.001),"69,900",15.6 Inch,8 GB
Acer Nitro 5 AN515-42 (UN.Q3RSI.001),"54,990",15.6 Inch,8 GB
Acer Swift 3 SF314-42-R9YN (NX.HSEAA.003),"82,161",14 Inch,8 GB
Acer Aspire 5 A515-51G (UN.GVMSI.002),"57,327",15.6 Inch,8 GB
Acer Nitro 5 AN515-44-R9QA (UN.Q9MSI.002),"66,990",15.6 Inch,8 GB
Acer Spin 5 SP513-54N-74V2 (NX.HQUAA.006),"111,990",13.3 Inch,16 GB
Acer Predator Helios 300 PH315-53 (NH.QCYSI.008),"124,000",15.6 Inch,16 GB
Acer Aspire 3 A315-42-R414 (NX.HHNSI.001),"30,990",15.6 Inch,4 GB
Acer Aspire 7 A715-41G-R7YZ (NH.Q8SSI.001),"56,988",15.6 Inch,8 GB
Acer Nitro 5 AN515-54 (NH.Q59SI.014),"81,000",15.6 Inch,8 GB
Acer Chromebook CP311-1H-C5PN (NX.GV2AA.001),"35,277",11.6 Inch,4 GB
Acer Aspire 3 A315-56 (NX.HS5SI.006),"37,000",15.6 Inch,4 GB
Acer Predator Helios 300 PH315-53-594S (NH.QA4SI.002),"92,990",15.6 Inch,16 GB
Acer Aspire 3 A315-58-393E (NX.ADDSI.001),"35,990",15.6 Inch,4 GB
Acer Aspire 3 A315-53 (NX.H38SI.002),"30,990",15.6 Inch,4 GB
Acer Aspire 5 A514-53-59U1 (NX.HUSSI.003),"55,990",14 Inch,8 GB
Acer Aspire 5 A515-56 (NX.A1ESI.006),"50,799",15.6 Inch,8 GB
Acer Nitro 5 AN515-57 (NH.QD8SI.002),"67,990",15.6 Inch,8 GB
Acer Aspire 3 A315-23 (NX.HVUSI.005),"34,790",15.6 Inch,4 GB
Acer Nitro 5 AN515-54-521N (NH.Q59SI.023),"109,999",15.6 Inch,8 GB
Acer Predator Triton 300 PT315-52 (NH.Q9YSI.002),"89,990",15.6 Inch,8 GB
Acer Nitro 5 AN515-45 (NH.QBMSI.004),"69,900",15.6 Inch,8 GB
Acer Nitro 5 AN515-45-R3TC (NH.QBCSI.001),"104,990",15.6 Inch,16 GB
Acer Aspire 5 A515-56-5695 (NX.A1GSI.006),"54,899",15.6 Inch,8 GB
Acer Aspire 5 A515-45-R0HB (NX.A84SI.002),"56,190",15.6 Inch,8 GB
Acer Aspire 5 A514-54 (NX.A28SI.004),"36,999",14 Inch,4 GB
Acer Nitro 5 AN515-51-55WL (NH.Q2QAA.016),"105,515",15.6 Inch,8 GB
Acer Aspire 3 A315-56 (UN.HS5SI.004),"44,467",15.6 Inch,8 GB
Acer Aspire 5 A515-56 (NX.A18SI.001),"63,990",15.6 Inch,8 GB
Acer Aspire 3 A315-58 (UN.ADDSI.014),"39,990",15.6 Inch,4 GB
Acer Swift 3 SF315-51G (UN.GSJSI.001),"69,999",15.6 Inch,8 GB
Acer Chromebook CB514-1H-C47X (NX.H1QAA.001),"43,191",14 Inch,4 GB
Acer Aspire A315-31CDC (UN.GNTSI.001),"22,999",15.6 Inch,2 GB
Acer Nitro 5 AN515-54-51M5 (NH.Q5UAA.001),"108,194",15.6 Inch,8 GB
Acer Nitro 5 AN517-54-77KG (NH.QC7AA.001),"147,250",17.3 Inch,16 GB
Acer Aspire 3 A315-23-R96Y (NX.HVUSI.00F),"28,359",15.6 Inch,4 GB
Acer Swift 3 SF314-41 (UN.HEYSI.003),"33,824",14 Inch,4 GB
Acer Nitro 5 AN515-57 (NH.QD9SI.001),"85,990",15.6 Inch,16 GB
Acer Chromebook CB3-532-C47C (NX.GHJAA.002),"43,128",15.6 Inch,2 GB
Acer Aspire 3 A315-42 (NX.HHNSI.002),"20,990",15.6 Inch,4 GB
Acer Predator Helios 300 PH315-54 (NH.QC2SI.003),"129,990",15.6 Inch,16 GB
Acer Predator Helios 300 PH315-53 (NH.QCYSI.003),"119,990",15.6 Inch,16 GB
Acer Chromebook CB315-2H-25TX (NX.H8SAA.001),"59,580",15.6 Inch,4 GB
HP Pavilion Gaming 15-ec0101AX (167W1PA),"54,990",15.6 Inch,8 GB
HP 15s-GR0011AU (35K34PA),"35,019",15.6 Inch,8 GB
HP 15s-dy3001TU (360L7PA),"42,790",15.6 Inch,8 GB
HP 14s-DY2501TU (3T170PA),"46,298",14 Inch,8 GB
HP Chromebook 14a-na0030nr (9LL05UA),"27,181",14 Inch,4 GB
HP 14q-cy0006au (7QG88PA),"28,462",14 Inch,4 GB
HP 14q-cs0009TU (5DZ92PA),"31,808",14 Inch,4 GB
HP 14q-cs0005tu (4WQ17PA),"34,688",14 Inch,4 GB
HP 15s-gr0012AU (35K35PA),"43,999",15.6 Inch,8 GB
HP 14-ck2018tu (172V2PA),"55,000",14 Inch,8 GB
HP 15q-bu006tu (2LS59PA),"33,996",15.6 Inch,8 GB
HP 14s-cf3074TU (1V4R6PA),"39,698",14 Inch,8 GB
HP 15q-ds0018tu (4ZD79PA),"28,990",15.6 Inch,4 GB
HP Stream 11-ak0020nr (16V21UA),"32,000",11.6 Inch,4 GB
HP 14q-cs0023tu (8QG87PA),"39,168",14 Inch,8 GB
HP Chromebook 11A-NA0002MU (2E4N0PA),"23,990",11.6 Inch,4 GB
HP Chromebook 11a-na0010nr (1F6F4UA),"34,475",11.6 Inch,4 GB
HP Pavilion x360 14-dh1178TU (231T0PA),"50,701",14 Inch,8 GB
HP 15s-du1066TU (25U53PA),"40,990",15.6 Inch,8 GB
HP 14s-dy2500TU (3T169PA),"42,490",14 Inch,8 GB
HP Pavilion 14-dv0054TU (2N1L0PA),"64,999",14 Inch,16 GB
HP 15s-FR2006TU (34W78PA),"47,490",15.6 Inch,8 GB
HP 15-db1069au (9VJ83PA),"31,999",15.6 Inch,4 GB
HP 15q-ds0006TU (4TT08PA),"29,390",15.6 Inch,4 GB
HP 15s-du3038TU (34W41PA),"42,990",15.6 Inch,8 GB
HP 15q-ds0004TU (4TT03PA),"21,990",15.6 Inch,4 GB
HP 15q-ds0005TU (4TT06PA),"24,815",15.6 Inch,4 GB
HP Pavilion 14-dv0543TU (4X7D7PA),"63,100",14 Inch,8 GB
